iter	Passed	Remaining
0	52	521472
1	101	505941
2	152	507782
3	214	535847
4	276	553683
5	335	558016
6	401	573100
7	456	569805
8	507	563029
9	558	558226
10	605	550204
11	651	542672
12	699	537370
13	751	536044
14	805	536501
15	875	546180
16	932	547442
17	993	551191
18	1056	555179
19	1119	558839
20	1174	558263
21	1229	557599
22	1291	560067
23	1367	568280
24	1426	569059
25	1478	567261
26	1530	565378
27	1583	563809
28	1647	566501
29	1700	565001
30	1750	562807
31	1796	559463
32	1853	559839
33	1912	560577
34	1990	566719
35	2137	591510
36	2248	605466
37	2311	605951
38	2364	603898
39	2411	600413
40	2459	597527
41	2510	595171
42	2558	592338
43	2604	589418
44	2652	586763
45	2699	584093
46	2751	582768
47	2796	579792
48	2846	578165
49	2892	575627
50	2940	573646
51	2992	572437
52	3041	570906
53	3092	569517
54	3139	567614
55	3187	566039
56	3232	563801
57	3281	562548
58	3331	561298
59	3373	558924
60	3418	556978
61	3471	556523
62	3521	555486
63	3570	554377
64	3617	552858
65	3662	551259
66	3710	550131
67	3761	549372
68	3811	548644
69	3860	547707
70	3913	547352
71	3959	546002
72	4009	545178
73	4058	544395
74	4105	543358
75	4152	542199
76	4203	541671
77	4250	540698
78	4301	540224
79	4344	538708
80	4392	537877
81	4439	536980
82	4488	536238
83	4536	535576
84	4587	535168
85	4636	534474
86	4680	533281
87	4724	532154
88	4772	531463
89	4825	531369
90	4874	530789
91	4920	529900
92	4969	529343
93	5015	528543
94	5067	528390
95	5110	527261
96	5156	526479
97	5204	525832
98	5250	525148
99	5299	524633
100	5349	524311
101	5397	523756
102	5445	523212
103	5490	522446
104	5538	521899
105	5585	521360
106	5628	520411
107	5674	519710
108	5719	519007
109	5769	518730
110	5815	518105
111	5868	518133
112	5919	517966
113	5969	517700
114	6022	517639
115	6071	517337
116	6116	516632
117	6164	516251
118	6206	515346
119	6249	514539
120	6292	513769
121	6342	513510
122	6387	512903
123	6434	512477
124	6481	512007
125	6527	511542
126	6576	511246
127	6636	511839
128	6688	511832
129	6736	511456
130	6794	511876
131	6848	511992
132	6898	511777
133	6950	511768
134	7002	511668
135	7057	511851
136	7116	512350
137	7170	512400
138	7220	512226
139	7265	511715
140	7315	511499
141	7357	510763
142	7406	510550
143	7454	510253
144	7502	509930
145	7597	512761
146	7671	514169
147	7834	521499
148	7942	525113
149	8065	529624
150	8143	531130
151	8266	535568
152	8340	536766
153	8455	540630
154	8593	545823
155	8759	552746
156	8851	554961
157	8912	555178
158	9008	557586
159	9100	559701
160	9187	561439
161	9255	562100
162	9308	561737
163	9355	561110
164	9401	560409
165	9454	560092
166	9519	560497
167	9572	560199
168	9621	559693
169	9668	559072
170	9717	558579
171	9771	558315
172	9824	558065
173	9870	557382
174	9923	557140
175	9971	556569
176	10029	556604
177	10082	556324
178	10131	555858
179	10176	555194
180	10226	554786
181	10276	554361
182	10326	553965
183	10380	553786
184	10432	553479
185	10484	553210
186	10542	553246
187	10598	553169
188	10648	552745
189	10691	551997
190	10738	551472
191	10784	550913
192	10827	550200
193	10880	549977
194	10930	549592
195	10983	549381
196	11035	549147
197	11087	548902
198	11140	548690
199	11186	548134
200	11241	548030
201	11292	547734
202	11344	547501
203	11397	547320
204	11445	546863
205	11493	546436
206	11541	546015
207	11592	545750
208	11636	545129
209	11681	544581
210	11735	544432
211	11786	544174
212	11839	544025
213	11892	543818
214	11939	543371
215	11991	543156
216	12046	543087
217	12094	542708
218	12148	542585
219	12193	542057
220	12247	541916
221	12294	541502
222	12347	541349
223	12392	540824
224	12436	540309
225	12484	539914
226	12531	539536
227	12581	539243
228	12621	538539
229	12668	538150
230	12717	537818
231	12763	537393
232	12811	537018
233	12858	536644
234	12900	536044
235	12950	535798
236	12997	535406
237	13039	534855
238	13082	534321
239	13130	533969
240	13181	533755
241	13226	533306
242	13278	533176
243	13331	533027
244	13378	532686
245	13428	532437
246	13475	532090
247	13522	531722
248	13569	531393
249	13618	531120
250	13670	530967
251	13720	530760
252	13772	530611
253	13819	530271
254	13864	529832
255	13910	529456
256	13958	529166
257	14006	528879
258	14053	528564
259	14096	528093
260	14151	528051
261	14197	527705
262	14243	527332
263	14288	526939
264	14337	526702
265	14383	526357
266	14426	525908
267	14473	525596
268	14519	525249
269	14566	524932
270	14615	524715
271	14662	524402
272	14709	524104
273	14761	523977
274	14809	523725
275	14854	523344
276	14902	523106
277	14950	522846
278	15003	522756
279	15050	522479
280	15101	522306
281	15143	521870
282	15194	521721
283	15237	521285
284	15286	521065
285	15329	520660
286	15373	520293
287	15418	519951
288	15461	519524
289	15506	519199
290	15552	518888
291	15597	518560
292	15645	518321
293	15698	518247
294	15745	518011
295	15794	517793
296	15845	517675
297	15893	517446
298	15942	517266
299	15988	516945
300	16038	516813
301	16088	516634
302	16137	516466
303	16190	516380
304	16236	516095
305	16282	515821
306	16325	515455
307	16370	515140
308	16413	514756
309	16461	514556
310	16510	514359
311	16555	514084
312	16606	513940
313	16651	513664
314	16697	513395
315	16741	513062
316	16793	512975
317	16842	512792
318	16885	512445
319	16930	512146
320	16976	511872
321	17026	511741
322	17071	511448
323	17116	511171
324	17168	511103
325	17216	510895
326	17260	510589
327	17312	510498
328	17359	510274
329	17403	509982
330	17448	509683
331	17497	509544
332	17539	509176
333	17589	509039
334	17638	508875
335	17685	508663
336	17730	508410
337	17779	508228
338	17830	508133
339	17878	507970
340	17921	507621
341	17965	507340
342	18012	507145
343	18061	506973
344	18114	506940
345	18165	506857
346	18244	507525
347	18289	507268
348	18337	507093
349	18382	506832
350	18425	506527
351	18469	506242
352	18514	505962
353	18556	505651
354	18610	505619
355	18658	505456
356	18703	505205
357	18748	504953
358	18799	504872
359	18842	504547
360	18893	504482
361	18939	504263
362	18985	504037
363	19032	503836
364	19085	503812
365	19131	503591
366	19183	503521
367	19232	503383
368	19280	503213
369	19329	503083
370	19380	503005
371	19425	502777
372	19470	502531
373	19517	502334
374	19568	502257
375	19614	502053
376	19659	501822
377	19707	501662
378	19751	501389
379	19795	501148
380	19841	500938
381	19890	500795
382	19939	500680
383	19983	500413
384	20029	500218
385	20075	500010
386	20127	499967
387	20172	499744
388	20228	499780
389	20273	499568
390	20316	499295
391	20362	499078
392	20405	498814
393	20455	498730
394	20497	498429
395	20547	498321
396	20596	498215
397	20645	498086
398	20693	497935
399	20741	497805
400	20789	497661
401	20836	497490
402	20882	497298
403	20932	497200
404	20979	497039
405	21023	496796
406	21066	496529
407	21113	496370
408	21160	496213
