datetime_gmt,generation_mw
2019-11-23T00:00:00Z,0
2019-11-23T00:30:00Z,0
2019-11-23T01:00:00Z,0
2019-11-23T01:30:00Z,0
2019-11-23T02:00:00Z,0
2019-11-23T02:30:00Z,0
2019-11-23T03:00:00Z,0
2019-11-23T03:30:00Z,0
2019-11-23T04:00:00Z,0
2019-11-23T04:30:00Z,0
2019-11-23T05:00:00Z,0
2019-11-23T05:30:00Z,0
2019-11-23T06:00:00Z,0
2019-11-23T06:30:00Z,0
2019-11-23T07:00:00Z,0
2019-11-23T07:30:00Z,0.00000973
2019-11-23T08:00:00Z,-99.99
2019-11-23T08:30:00Z,6.61
2019-11-23T09:00:00Z,43.5
2019-11-23T09:30:00Z,115
2019-11-23T10:00:00Z,216
2019-11-23T10:30:00Z,343
2019-11-23T11:00:00Z,451
2019-11-23T11:30:00Z,446
2019-11-23T12:00:00Z,550
2019-11-23T12:30:00Z,485
2019-11-23T13:00:00Z,566
2019-11-23T13:30:00Z,387
2019-11-23T14:00:00Z,309
2019-11-23T14:30:00Z,226
2019-11-23T15:00:00Z,122
2019-11-23T15:30:00Z,49
2019-11-23T16:00:00Z,10.5
2019-11-23T16:30:00Z,0.626
2019-11-23T17:00:00Z,0
2019-11-23T17:30:00Z,0
2019-11-23T18:00:00Z,-99.99
2019-11-23T18:30:00Z,0
2019-11-23T19:00:00Z,0
2019-11-23T19:30:00Z,0
2019-11-23T20:00:00Z,0
2019-11-23T20:30:00Z,0
2019-11-23T21:00:00Z,0
2019-11-23T21:30:00Z,0
2019-11-23T22:00:00Z,0
2019-11-23T22:30:00Z,0
2019-11-23T23:00:00Z,0
2019-11-23T23:30:00Z,0
2019-11-24T00:00:00Z,0
2019-11-24T00:30:00Z,0
2019-11-24T01:00:00Z,0
2019-11-24T01:30:00Z,0
2019-11-24T02:00:00Z,0
2019-11-24T02:30:00Z,0
2019-11-24T03:00:00Z,0
2019-11-24T03:30:00Z,0
2019-11-24T04:00:00Z,0
2019-11-24T04:30:00Z,0
2019-11-24T05:00:00Z,0
2019-11-24T05:30:00Z,0
2019-11-24T06:00:00Z,0
2019-11-24T06:30:00Z,0
2019-11-24T07:00:00Z,0
2019-11-24T07:30:00Z,0.0000261
2019-11-24T08:00:00Z,1.41
2019-11-24T08:30:00Z,26.9
2019-11-24T09:00:00Z,103
2019-11-24T09:30:00Z,220
2019-11-24T10:00:00Z,360
2019-11-24T10:30:00Z,514
2019-11-24T11:00:00Z,682
2019-11-24T11:30:00Z,718
2019-11-24T12:00:00Z,739
2019-11-24T12:30:00Z,737
2019-11-24T13:00:00Z,692
2019-11-24T13:30:00Z,618
2019-11-24T14:00:00Z,520
2019-11-24T14:30:00Z,274
2019-11-24T15:00:00Z,157
2019-11-24T15:30:00Z,38.8
2019-11-24T16:00:00Z,5.31
2019-11-24T16:30:00Z,0.0822
2019-11-24T17:00:00Z,0
2019-11-24T17:30:00Z,0
2019-11-24T18:00:00Z,0
2019-11-24T18:30:00Z,-99.99
2019-11-24T19:00:00Z,0
2019-11-24T19:30:00Z,0
2019-11-24T20:00:00Z,0
2019-11-24T20:30:00Z,0
2019-11-24T21:00:00Z,0
2019-11-24T21:30:00Z,0
2019-11-24T22:00:00Z,-99.99
2019-11-24T22:30:00Z,0
2019-11-24T23:00:00Z,0
2019-11-24T23:30:00Z,0
2019-11-25T00:00:00Z,0
2019-11-25T00:30:00Z,0
2019-11-25T01:00:00Z,0
2019-11-25T01:30:00Z,0
2019-11-25T02:00:00Z,0
2019-11-25T02:30:00Z,0
2019-11-25T03:00:00Z,0
2019-11-25T03:30:00Z,0
2019-11-25T04:00:00Z,0
2019-11-25T04:30:00Z,0
2019-11-25T05:00:00Z,0
2019-11-25T05:30:00Z,0
2019-11-25T06:00:00Z,0
2019-11-25T06:30:00Z,0
2019-11-25T07:00:00Z,0
2019-11-25T07:30:00Z,0.00842
2019-11-25T08:00:00Z,-99.99
2019-11-25T08:30:00Z,19.2
2019-11-25T09:00:00Z,120
2019-11-25T09:30:00Z,283
2019-11-25T10:00:00Z,393
2019-11-25T10:30:00Z,499
2019-11-25T11:00:00Z,619
2019-11-25T11:30:00Z,746
2019-11-25T12:00:00Z,793
2019-11-25T12:30:00Z,693
2019-11-25T13:00:00Z,635
2019-11-25T13:30:00Z,604
2019-11-25T14:00:00Z,471
2019-11-25T14:30:00Z,337
2019-11-25T15:00:00Z,210
2019-11-25T15:30:00Z,74.2
2019-11-25T16:00:00Z,5.99
2019-11-25T16:30:00Z,0.051
2019-11-25T17:00:00Z,0
2019-11-25T17:30:00Z,0
2019-11-25T18:00:00Z,0
2019-11-25T18:30:00Z,0
2019-11-25T19:00:00Z,0
2019-11-25T19:30:00Z,0
2019-11-25T20:00:00Z,0
2019-11-25T20:30:00Z,0
2019-11-25T21:00:00Z,0
2019-11-25T21:30:00Z,0
2019-11-25T22:00:00Z,0
2019-11-25T22:30:00Z,0
2019-11-25T23:00:00Z,0
2019-11-25T23:30:00Z,0
2019-11-26T00:00:00Z,0
2019-11-26T00:30:00Z,0
2019-11-26T01:00:00Z,0
2019-11-26T01:30:00Z,-99.99
2019-11-26T02:00:00Z,0
2019-11-26T02:30:00Z,0
2019-11-26T03:00:00Z,0
2019-11-26T03:30:00Z,0
2019-11-26T04:00:00Z,0
2019-11-26T04:30:00Z,0
2019-11-26T05:00:00Z,0
2019-11-26T05:30:00Z,0
2019-11-26T06:00:00Z,0
2019-11-26T06:30:00Z,0
2019-11-26T07:00:00Z,-99.99
2019-11-26T07:30:00Z,0
2019-11-26T08:00:00Z,0.0234
2019-11-26T08:30:00Z,8.12
2019-11-26T09:00:00Z,52.1
2019-11-26T09:30:00Z,146
2019-11-26T10:00:00Z,333
2019-11-26T10:30:00Z,446
2019-11-26T11:00:00Z,552
2019-11-26T11:30:00Z,720
2019-11-26T12:00:00Z,918
2019-11-26T12:30:00Z,983
2019-11-26T13:00:00Z,1050
2019-11-26T13:30:00Z,955
2019-11-26T14:00:00Z,939
2019-11-26T14:30:00Z,785
2019-11-26T15:00:00Z,627
2019-11-26T15:30:00Z,250
2019-11-26T16:00:00Z,50.1
2019-11-26T16:30:00Z,0.865
2019-11-26T17:00:00Z,0
2019-11-26T17:30:00Z,0
2019-11-26T18:00:00Z,0
2019-11-26T18:30:00Z,0
2019-11-26T19:00:00Z,0
2019-11-26T19:30:00Z,0
2019-11-26T20:00:00Z,0
2019-11-26T20:30:00Z,0
2019-11-26T21:00:00Z,0
2019-11-26T21:30:00Z,0
2019-11-26T22:00:00Z,0
2019-11-26T22:30:00Z,0
2019-11-26T23:00:00Z,0
2019-11-26T23:30:00Z,0
2019-11-27T00:00:00Z,0
2019-11-27T00:30:00Z,0
2019-11-27T01:00:00Z,0
2019-11-27T01:30:00Z,0
2019-11-27T02:00:00Z,0
2019-11-27T02:30:00Z,0
2019-11-27T03:00:00Z,0
2019-11-27T03:30:00Z,0
2019-11-27T04:00:00Z,0
2019-11-27T04:30:00Z,0
2019-11-27T05:00:00Z,-99.99
2019-11-27T05:30:00Z,0
2019-11-27T06:00:00Z,0
2019-11-27T06:30:00Z,0
2019-11-27T07:00:00Z,0
2019-11-27T07:30:00Z,0
2019-11-27T08:00:00Z,1.33
2019-11-27T08:30:00Z,48.8
2019-11-27T09:00:00Z,198
2019-11-27T09:30:00Z,369
2019-11-27T10:00:00Z,620
2019-11-27T10:30:00Z,934
2019-11-27T11:00:00Z,987
2019-11-27T11:30:00Z,1000
2019-11-27T12:00:00Z,1000
2019-11-27T12:30:00Z,1050
2019-11-27T13:00:00Z,1220
2019-11-27T13:30:00Z,1050
2019-11-27T14:00:00Z,832
2019-11-27T14:30:00Z,630
2019-11-27T15:00:00Z,392
2019-11-27T15:30:00Z,176
2019-11-27T16:00:00Z,25.6
2019-11-27T16:30:00Z,0.258
2019-11-27T17:00:00Z,0
2019-11-27T17:30:00Z,0
2019-11-27T18:00:00Z,0
2019-11-27T18:30:00Z,0
2019-11-27T19:00:00Z,0
2019-11-27T19:30:00Z,0
2019-11-27T20:00:00Z,0
2019-11-27T20:30:00Z,-99.99
2019-11-27T21:00:00Z,0
2019-11-27T21:30:00Z,0
2019-11-27T22:00:00Z,0
2019-11-27T22:30:00Z,0
2019-11-27T23:00:00Z,0
2019-11-27T23:30:00Z,0
2019-11-28T00:00:00Z,0
2019-11-28T00:30:00Z,0
2019-11-28T01:00:00Z,0
2019-11-28T01:30:00Z,0
2019-11-28T02:00:00Z,-99.99
2019-11-28T02:30:00Z,0
2019-11-28T03:00:00Z,0
2019-11-28T03:30:00Z,0
2019-11-28T04:00:00Z,0
2019-11-28T04:30:00Z,0
2019-11-28T05:00:00Z,0
2019-11-28T05:30:00Z,0
2019-11-28T06:00:00Z,0
2019-11-28T06:30:00Z,0
2019-11-28T07:00:00Z,0
2019-11-28T07:30:00Z,0
2019-11-28T08:00:00Z,1.98
2019-11-28T08:30:00Z,89.2
2019-11-28T09:00:00Z,350
2019-11-28T09:30:00Z,720
2019-11-28T10:00:00Z,1030
2019-11-28T10:30:00Z,1300
2019-11-28T11:00:00Z,1480
2019-11-28T11:30:00Z,1540
2019-11-28T12:00:00Z,1480
2019-11-28T12:30:00Z,1350
2019-11-28T13:00:00Z,1140
2019-11-28T13:30:00Z,860
2019-11-28T14:00:00Z,625
2019-11-28T14:30:00Z,414
2019-11-28T15:00:00Z,244
2019-11-28T15:30:00Z,99.6
2019-11-28T16:00:00Z,17.2
2019-11-28T16:30:00Z,0.41
2019-11-28T17:00:00Z,0
2019-11-28T17:30:00Z,0
2019-11-28T18:00:00Z,0
2019-11-28T18:30:00Z,0
2019-11-28T19:00:00Z,0
2019-11-28T19:30:00Z,0
2019-11-28T20:00:00Z,0
2019-11-28T20:30:00Z,0
2019-11-28T21:00:00Z,0
2019-11-28T21:30:00Z,0
2019-11-28T22:00:00Z,0
2019-11-28T22:30:00Z,0
2019-11-28T23:00:00Z,0
2019-11-28T23:30:00Z,0
2019-11-29T00:00:00Z,0
2019-11-29T00:30:00Z,0
2019-11-29T01:00:00Z,0
2019-11-29T01:30:00Z,0
2019-11-29T02:00:00Z,0
2019-11-29T02:30:00Z,0
2019-11-29T03:00:00Z,0
2019-11-29T03:30:00Z,0
2019-11-29T04:00:00Z,0
2019-11-29T04:30:00Z,0
2019-11-29T05:00:00Z,0
2019-11-29T05:30:00Z,0
2019-11-29T06:00:00Z,0
2019-11-29T06:30:00Z,0
2019-11-29T07:00:00Z,0
2019-11-29T07:30:00Z,0
2019-11-29T08:00:00Z,8.03
2019-11-29T08:30:00Z,232
2019-11-29T09:00:00Z,886
2019-11-29T09:30:00Z,1770
2019-11-29T10:00:00Z,2650
2019-11-29T10:30:00Z,3400
2019-11-29T11:00:00Z,3910
2019-11-29T11:30:00Z,4270
2019-11-29T12:00:00Z,4490
2019-11-29T12:30:00Z,4500
2019-11-29T13:00:00Z,4220
2019-11-29T13:30:00Z,3720
2019-11-29T14:00:00Z,3060
2019-11-29T14:30:00Z,2350
2019-11-29T15:00:00Z,1460
2019-11-29T15:30:00Z,568
2019-11-29T16:00:00Z,65
2019-11-29T16:30:00Z,0.536
2019-11-29T17:00:00Z,0
2019-11-29T17:30:00Z,0
2019-11-29T18:00:00Z,0
2019-11-29T18:30:00Z,0
2019-11-29T19:00:00Z,0
2019-11-29T19:30:00Z,0
2019-11-29T20:00:00Z,0
2019-11-29T20:30:00Z,0
2019-11-29T21:00:00Z,0
2019-11-29T21:30:00Z,0
2019-11-29T22:00:00Z,0
2019-11-29T22:30:00Z,0
2019-11-29T23:00:00Z,0
2019-11-29T23:30:00Z,0
2019-11-30T00:00:00Z,0
2019-11-30T00:30:00Z,0
